|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
12|20/03/1995|Rubens Barrichello|13|Rubens Barrichello| Eu vejo ela  muito melhor do que a do ano passado. Eu fiquei na Jordan com muita afirmação, realmente querendo ficar na Jordan. Porque o grande problema da Jordan, no ano passado, era o motor. Com a Peugeot por trás da equipe Jordan, agora nós temos uma força muito maior de tecnologia, de eletrônica, de desenvolvimento. Então eu diria que nós temos uma força muito, muito maior. E em termos de campeonato eu acho que demora um pouco ainda... Eu acho que a alegria que o Ayrton nos dava era muito maior do que ainda o Rubinho pode dar. Mas de uma certa forma acho que o campeonato - se nós tivermos a chance de lutar por pódios e até quem sabe uma vitória esse ano - eu acho que no ano que vem a gente já tem uma possibilidade um pouco maior.
13|20/03/1995|Rubens Barrichello|14|Marcus Zamponi| Rubinho, no final da última temporada para o início desta ficou uma fase meio nebulosa, um negócio meio mal explicado. No final do ano, você tinha praticamente tudo certo com a McLaren e parecia definitivo que você ia guiar para eles este ano. Depois você renovou com a Jordan. O que “empacou” a negociação com o Ron Dennis ? Falta de dinheiro? Ele não acreditou no seu talento? O que aconteceu?
14|20/03/1995|Rubens Barrichello|15|Rubens Barrichello| Não, primeiro foi que a Jordan, em julho, não tinha nada no papel ainda. Ela não tinha nada assinado... Em princípio ela continuaria com um carro Jordan, com um motor Hart; e isso não era favorável porque o Hart é um motor muito bom, mas necessitava de mais dinheiro para desenvolvimento. Então quando a McLaren se aproximou da gente, eu acho que foi uma coisa essencial na minha carreira, foi uma coisa que era o momento. E eu me vi tão emocionado naquele momento, que eu passei por cima do Geraldo  e do meu pai e acabei assinando um papel. Não sem a presença deles, mas eu acabei assinando um papel que aquilo depois me prejudicaria um pouco no final... Porque o Ron Dennis - sabendo daquela assinatura- ele me deixou um pouco de canto, tentando resolver os problemas da equipe, porque afinal de contas, eu já fazia parte da equipe McLaren. E aquela coisa foi se deteriorando... Eu acho que meu contato com a Jordan, além de profissional é muito familiar. É uma coisa que eu “curto” bastante esse contato, amizade... Mesmo com os mecânicos, eu trato eles como irmãos, realmente. Então isso não aconteceu em nada na McLaren. Eu fui uma vez à fábrica e ficou aquela coisa muito baixa, não estava indo para frente. Quando eu soube que a Jordan teria ou a Ford ou o  Peugeot - e eu torcendo um pouco mais pelo Peugeot, porque eu achava que realmente a Peugeot tem uma vontade enorme de “bater”  a Renault, e isso é muito forte - a coisa começou a ir mais para outro lado e bastava aquela questão de poder sair daquele papel que eu havia assinado. A data se expediu e nós assinamos com a Jordan.
15|20/03/1995|Rubens Barrichello|16|Maurício Cardoso| Ô, Rubinho... agora a Jordan tem um bom carro que tem motor, tem um bom piloto... O que falta para a Jordan “brigar” com a Williams e com a Benetton?
16|20/03/1995|Rubens Barrichello|17|Rubens Barrichello| Eu acho que a Jordan - uma comparação exata com a vida real -, a Jordan ainda é uma criança; com um pouquinho a mais do que ela pode ter na mão. Então os problemas acontecem, as coisas normais acontecem... Como, no caso, alguns problemas eletrônicos que aconteceram nos treinos... São normais, mas aconteceram. Eu tenho certeza de que uma equipe que já vinha, por exemplo, trabalhando com a embreagem nas mãos  não teria esse tipo de problema. Então é uma coisa que ainda é muito cedo para a Jordan, de repente, ganhar um campeonato. E, de repente, nós temos já um equipamento eficiente, um equipamento que nos dá a chance de até acontecer isso. Apesar de que em 1995, eu acho muito cedo. Ainda acho que o equipamento dará até a chance de, quem sabe, vencer uma corrida, mas ainda é um pouco cedo demais. É o quinto ano da Jordan... Eu acho que para o quinto ano de uma equipe, ela vem até melhor situada que a Benetton em 83/84.
17|20/03/1995|Rubens Barrichello|18|Matinas Suzuki Júnior| Barbara Gancia.
18|20/03/1995|Rubens Barrichello|19|Barbara Gancia| Rubinho, teu tom está bem mais baixo que o tom depois dos treinos de Estoril . Você estava bem eufórico, falando que era um carro vencedor e tal... Como é que mudou esse tom? Como é que... Porque você estava muito empolgado, agora você já está falando de seis ou sete para subir no pódio. Foi o Geraldo e o teu pai que falaram: “Olha, vamos abaixar um pouquinho essa expectativa para não deixar todo mundo esperando muito”?
19|20/03/1995|Rubens Barrichello|20|Rubens Barrichello| Não, mesmo porque as coisas que eu falo vêm do coração. Eu acho que só, às vezes, quando eu falo alguma coisa errada, o meu pai vem e dá o “puxão de orelha” como pai mesmo...
20|20/03/1995|Rubens Barrichello|21|Barbara Gancia| Mas não como o Wilson?
21|20/03/1995|Rubens Barrichello|22|Rubens Barrichello| Não sei, não conheço... 
22|20/03/1995|Rubens Barrichello|23|Barbara Gancia| Sei, sei, sei.
23|20/03/1995|Rubens Barrichello|24|Rubens Barrichello| Eu diria que eu, realmente, fiquei impressionado com a velocidade da Williams e no primeiro dia, em que eles viraram na casa de 1m21s eu fiquei muito impressionado. E isso “baixou um pouco a minha bola”, porque eu, realmente, achava que o nosso carro era capaz de disputar em São Paulo, por exemplo, até a pole position. Mas não é mais. Não é porque a Williams mostrou, a velocidade do Schumacher também mostrou - apesar da gente continuar no plano, digamos assim, entre os seis primeiros - eu acho que baixou um pouco a minha expectativa...
24|20/03/1995|Rubens Barrichello|25|Barbara Gancia| Se chover melhora?
25|20/03/1995|Rubens Barrichello|26|Rubens Barrichello| Ah! Se chover sempre melhora. Sempre melhora porque iguala a condição dos pilotos e eu acho que, principalmente São Paulo, que eu já conheço os pequenos buraquinhos , eu acho que melhora, sem dúvida.
26|20/03/1995|Rubens Barrichello|27|Marcus Zamponi| Essa diferença está onde? No motor ou chassi ainda? Essa inferioridade de vocês em relação à Williams?
27|20/03/1995|Rubens Barrichello|28|Rubens Barrichello| Olha, um pouco do conjunto.
28|20/03/1995|Rubens Barrichello|29|Matinas Suzuki Júnior| Rubinho, você poderia aproveitar a oportunidade e explicar para o nosso telespectador o que é um chassi e o que é um motor e qual é essa diferença?
29|20/03/1995|Rubens Barrichello|30|Rubens Barrichello| É difícil separar um chassi de um motor. . Bom, o chassi é todo o conjunto: é o próprio Jordan, é onde as peças se unem, digamos assim... É onde, realmente, você tem um chassi, por exemplo, do kart que são tubos, que são coligados. Na Fórmula 1 é igual, e você tem a parte do motor atrás, no nosso caso é um motor três litros Peugeot. Enfim, acho que aí eu liguei o carro ao motor.
30|20/03/1995|Rubens Barrichello|31|Matinas Suzuki Júnior| Celso, por favor.
31|20/03/1995|Rubens Barrichello|32|Celso Miranda| Rubinho, você mesmo falou que conhece aqui em São Paulo, conhece cada buraco. Mas esse ano fizeram umas modificações para melhorar, supostamente melhorar a segurança. Ontem a gente viu o teste de segurança que foi feito com um Fórmula Ford. O rapaz pegou o carro e passou direto por uma caixa de brita que teoricamente é muito mais segura, porque é maior - a distância dela é muito maior - e bateu forte nos pneus. Estragou bem o carro, ele se assustou e ele se machucou. Um Fórmula 1 vai passar lá, pelo menos 70% mais rápido e, teoricamente, vai passar mais “voando” ainda por cima daquela caixa de brita. Aquilo virou um ponto perigoso da pista?
32|20/03/1995|Rubens Barrichello|33|Rubens Barrichello| Eu não pude checar pessoalmente a pista de Interlagos e o eu farei amanhã, se Deus quiser. Acho que é a primeira vez que eu poderei ter um contato direto com a pista. Mas eu vi o acidente na televisão e eu posso dizer que fiquei bastante chocado com o que vi; mesmo porque eu acho que não há necessidade de tal velocidade. Acho que foi excelente, até para os médicos que puderam tirar o piloto de dentro do carro de uma maneira de como seria, apesar de que o impacto foi 30% de um impacto real de Fórmula 1. Mas eu acho que o acompanhamento dos pilotos seria quase que necessário nas mudanças da pista, nas mudanças de regulamento. Eu acho que os pilotos teriam que... Eu acho que a FIA  deveria evoluir um pouco mais esse pensamento e dar essa chance aos pilotos de poderem, realmente, assumirem um pouco do controle disso: de fazer essa zebra assim, de fazer o pneu aqui...
33|20/03/1995|Rubens Barrichello|34|Matinas Suzuki Júnior| Agora, os pilotos não exercem uma pressão para... Isso também não é um direito que os pilotos têm que conquistar, Rubinho?
34|20/03/1995|Rubens Barrichello|35|Rubens Barrichello| Isso existe. A GPDA  existe hoje em dia. Na próxima quarta-feira nós temos uma reunião com todos os pilotos para saber dos problemas que estão acontecendo. Só que ainda não é um fator predominante dentro da Fórmula 1. Eu acho que os pilotos unidos conseguem alguma coisa, mas, de uma certa forma, eu acho que os pilotos teriam que ter um pouco mais de envolvimento quanto à segurança do próprio carro ou da pista. Eu dou dois exemplos: a pista de Silverstone e Magny-Cours, na França, são duas pistas que mudaram totalmente e são totalmente seguras. Então é uma pista onde eu realmente entro, sento no carro e falo: “agora eu vou dar tudo porque, se eu bater, eu estou seguro”. Uma curva como a Laranjinha , como eu vi ontem, é uma curva que está um pouco... Eu não sei se tirando a parte -porque ela era uma parte baixa que tinha uma elevação, agora aquela elevação já não está mais lá, ela é um pouco mais baixa... Talvez isso tenha prejudicado um pouco a curva, então necessita de modificações. Eu acho que os pilotos teriam que ter um pouco mais de...
35|20/03/1995|Rubens Barrichello|36|Matinas Suzuki Júnior| Cândido Garcia.
36|20/03/1995|Rubens Barrichello|37|Cândido Garcia| Rubinho, eu quero saber como é que vai ficar a tua cabeça, porque, veja bem: 22 anos, dois anos de Fórmula 1, você parte para a terceira temporada e aconteceram alguns fatos que determinaram uma concentração em cima do Rubinho Barrichello. Quer dizer, todas as atenções - em termos de Brasil - ficam em cima do Rubinho. O Christian  foi para a  Indy. Infelizmente, perdemos o Ayrton no ano passado; nós temos o Pedro Paulo  e o Roberto  que estão numa equipe nova e que ainda começam o trabalho. Você está preparado? Porque, fatalmente, vai haver muita cobrança, muita comparação, muito assédio de público e de imprensa. Como é que você vai administrar isso? Quer dizer, como é que está a tua cabeça?
37|20/03/1995|Rubens Barrichello|38|Rubens Barrichello| Olha, apesar de tudo, eu me sinto super tranqüilo. Eu tenho dormido bem, tenho acordado bem. Eu acho que existe essa coisa um pouco maior da pressão que, sem dúvida nenhuma, existirá. Mas, acima de tudo, eu tenho um apoio tão grande do povo, que isso me deixa realmente muito mais sossegado em termos de resultado, em termos daquilo que eu realmente posso fazer no ano de 95. Então, eu te dou um exemplo: outro dia um segurança de onde eu fazia o comercial, ele disse que eu estava na... Que toda noite quando ele rezava, ele pedia sempre uma coisa para mim, uma coisa do bem. Então cada dia mais eu fico impressionado com as pessoas, com a maneira como eu sou tratado e eu só tenho a ficar calmo mesmo...
38|20/03/1995|Rubens Barrichello|39|Cândido Garcia| Essa pressão não te irrita? Você vai continuar sendo o menino Rubinho de Interlagos? Você não vai ter que ficar dentro de uma redoma?... Porque normalmente a fama tira a tua privacidade, esse assédio constante. É por isso que eu estou te perguntando.
39|20/03/1995|Rubens Barrichello|40|Matinas Suzuki Júnior| E essa vai ser uma das semanas mais tensas da sua vida. Você vai passar uma semana aí muito pressionado. Você sente esse clima?
40|20/03/1995|Rubens Barrichello|41|Rubens Barrichello|" Eu não sei. O clima de tensão lógico que existe, mas é uma coisa que é normal. Nos outros dois anos eu sempre pensava que a única coisa que diferia era que ""eu largo em décimo quarto, mas o Ayrton está em primeiro""... Para mim estava tudo jóia, o Brasil continuava me amando porque o Ayrton está na frente, não tinha problema. Agora, infelizmente, ele não está mais e eu realmente me cobro um pouco mais para que eu possa fazer um pouco a mais, mas não é que chega a me atrapalhar, não tira meu sono... Faz parte da minha carreira e a pressão sempre fez parte da minha carreira. Então acho que é uma coisa natural."
41|20/03/1995|Rubens Barrichello|42|Matinas Suzuki Júnior| Cláudio Carsughi, por favor.
42|20/03/1995|Rubens Barrichello|43|Cláudio Carsughi| No primeiro número da revista Auto e Técnica, que estará nas bancas dia 2 de maio, eu estou escrevendo que você ganha este ano o seu primeiro Grande Prêmio. Pelas características da Jordan/Peugeot qual é o circuito que te dá mais chances para isso?
43|20/03/1995|Rubens Barrichello|44|Rubens Barrichello| Olha, eu diria que corrida é sempre muito diferente de tomada de tempo. Mas eu acho que uma pista como Spa-Francorchamps , que o nosso carro sempre andou bem - é uma pista característica da Jordan se dar bem. Eu diria que nós teremos, inclusive, chances em Hockenheim , em Monza , que são pistas em que o motor, como parte predominante...
44|20/03/1995|Rubens Barrichello|45|Cláudio Carsughi| Mesmo Hockenheim?
45|20/03/1995|Rubens Barrichello|46|Rubens Barrichello| Mesmo Hockenheim. Eu acho que o nosso motor Peugeot é muito forte, inclusive com as velocidades que nós alcançamos em Portugal... Acho que foram muito boas,  que eu acho que até Hockenheim nós conseguiremos um bom resultado. Eu acho que até Interlagos... Interlagos é uma pista favorável ao nosso carro, então eu não sei. Espero que...
46|20/03/1995|Rubens Barrichello|47|Cláudio Carsughi| Seria indiscreto eu perguntar a que rotação chega esse teu motor? Já que você falou em Spa, Hockenheim, Monza, que são três pistas de alta velocidade.
47|20/03/1995|Rubens Barrichello|48|Rubens Barrichello| Olha, eu não sei se o pessoal da Peugeot vai ficar contente, mas gira menos que 17 mais que 15. .
48|20/03/1995|Rubens Barrichello|49|Paulo Anshowinhas| Rubinho, vamos sair um pouquinho das pistas e vamos para a sua vida particular... O Caderno ZAP fez recentemente uma enquete entre adolescentes para escolher o piloto mais bonito da Fórmula 1. O Christian Fittipaldi foi escolhido o número 1 das pistas e, ao contrário, você foi visto como o mais feio de todos os pilotos...  Você acha que este fato atrapalha de alguma forma a sua carreira?
49|20/03/1995|Rubens Barrichello|50|Rubens Barrichello| O Tom Cruise, você sabe que o apelido dele é “Tom Cruizes”, né? “Tom Cruizes Credo”!  ... Mais feio? Não. O Katayama , até o..., deixa eu ver, o..., até o Belmondo  é , o pai dele é bonito, mas ele... O Badoer . Está bom. De qualquer forma... Não atrapalha em nada, porque afinal de contas eu não estou ali para ser modelo, nem para ser uma pessoa bonita. Na hora em que eu me realizo, na hora em que eu fecho a viseira é a hora em que ninguém vê a minha cara. Então, com certeza, não atrapalha.
50|20/03/1995|Rubens Barrichello|51|Paulo Anshowinhas| Eu percebi que a sua namorada não te acompanhou hoje aqui durante a entrevista. Você acha que este tipo de coisa também influi no seu relacionamento com as pessoas? Você tem tempo para ser feliz fora das pistas?
51|20/03/1995|Rubens Barrichello|52|Rubens Barrichello| Tenho. Eu sou uma pessoa super feliz fora das pistas. Eu acho que a coisa com a namorada... Primeiro que ela tem um trabalho às 7h amanhã. Segundo: acho que vale a pena ela ficar vendo na televisão; afinal de contas, ela ia estar vendo a mesma coisa que ia estar vendo aqui, não é? Então, um beijo, um beijo , mas...
52|20/03/1995|Rubens Barrichello|53|Barbara Gancia| Aliás, Rubinho, essa coisa de você sempre estar aparecendo em fotos, na  Caras, em tudo quanto é lugar, dando uns beijos na Patrícia... Você não acha que, de repente, é um sinal de uma certa, digamos assim, imaturidade?
53|20/03/1995|Rubens Barrichello|54|Rubens Barrichello| Olha, o Rubinho continua sendo o meninão que sempre foi. Eu acho que o que mais importa na minha vida é que... realmente, para que eu saiba lidar com essa pressão, com essa coisa toda, é que eu tenho o tempo certo de voltar a ser o menino que eu sou e ter a diversão que eu tenho.  de, inclusive, ir aos shoppings centers e jogar o meu fliperama... Porque afinal de contas eu tenho só 22 anos.
54|20/03/1995|Rubens Barrichello|55|Barbara Gancia| Enquanto pode... estar dando beijo na Patrícia é melhor que jogar fliperama?
55|20/03/1995|Rubens Barrichello|56|Rubens Barrichello| A Patrícia tem feito coisas extraordinárias, ela tem se comportado muito bem ao meu lado, ela tem me dado muito carinho e tem realmente só trazido o bem. Ela tem só acrescentado. Então, a coisa de poder estar do lado dela e aparecer é um pouco da imprensa porque, afinal de contas, o Rubinho está sempre ali no meio de mecânicos, no meio da graxa, fazendo alguma coisa. Então quando ela está do meu lado eu vou ser sempre “clicado”.
56|20/03/1995|Rubens Barrichello|57|Barbara Gancia| Dentro dessa coisa das pressões que você falou, eu imagino que uma das preocupações da TV Globo, que detém os direitos de transmissão do campeonato, é a possibilidade do Irvine  andar na sua frente. O que você pode dizer para a Globo para tranqüilizá-la?
57|20/03/1995|Rubens Barrichello|58|Rubens Barrichello| Olha, eu não tenho que dizer nada a ninguém. Eu acho que não tem que haver nada. O Irvine trouxe para a equipe uma velocidade que eu posso afirmar que, acima dele, só existe uma pessoa no momento, que se chama Michael Schumacher. Eu acho que, para mim, é o maior teste. É a coisa que, com certeza, se Deus quiser, com os meus netinhos eu vou estar falando que o Irvine foi o maior companheiro que eu já tive em todos os tempos, em termos de velocidade. Em termos de acerto no carro ele não produz muito, em termos de amizade dentro da equipe não acrescenta em nada, mas em termos de velocidade ele acrescenta nota 10...
58|20/03/1995|Rubens Barrichello|59|Cândido Garcia| Rubinho, em cima disso que a Barbara falou... Não digo que você teve problemas com o Irvine, mas não seria um relacionamento de grandes amigos. Eu me recordo que, em meio à temporada - inclusive foi fato público- o Irvine deu uma de esperto e andou copiando, ia lá na telemetria e copiava todos os acertos que você fazia para depois ele fazer a tomada. Isto te irritou um pouco. Como é que é esse relacionamento hoje?
59|20/03/1995|Rubens Barrichello|60|Rubens Barrichello| Não há problema algum, inclusive ele andou muito rápido em Portugal, andou mais rápido do que eu e eu tive que baixar a cabeça e dar os parabéns. É uma coisa que irá acontecer. Meu pai sempre me ensinou a me comportar como vencedor e como perdedor. Acho que na vida você ganha e perde. Então, como eu tinha dito, eu não tenho que dar desculpa a ninguém. O Irvine é realmente um piloto muito rápido e isso só tem a acrescentar à equipe. Porque isso só tira aqueles dois décimos, três décimos que eu tenho no bolso, que eu tenho que tirar para fora para estar na frente dele. Então, com certeza, num carro como o deste ano eu vou ter mais dificuldades ainda, porque o carro escorrega mais e ele é uma daquelas pessoas que andam na rua totalmente de lado, ele é super maluco nesse sistema. Então ele anda muito rápido mesmo...
60|20/03/1995|Rubens Barrichello|61|Maurício Cardoso| Mas é legal você ficar acertando o carro para ele andar, não? 
61|20/03/1995|Rubens Barrichello|62|Rubens Barrichello| Não, é que eu sou uma pessoa muito boa nesse sentido . Acho que eu vou, inclusive, ter umas aulas com o Nelson ... Como é que ele fazia para guardar aqueles segredos do carro? 
62|20/03/1995|Rubens Barrichello|63|Barbara Gancia| Quem está falando melhor francês, você ou o Irvine ? Isso já é uma ajuda, não é?
63|20/03/1995|Rubens Barrichello|64|Rubens Barrichello| Ah! Ele não fala nada. Pode ter certeza. 
64|20/03/1995|Rubens Barrichello|65|Matinas Suzuki Júnior| Cláudio Carsughi, por favor.
65|20/03/1995|Rubens Barrichello|66|Cláudio Carsughi| Rubinho, certa vez, no passado, Stirling Moss  que fazia dupla com Fangio  na Mercedes, disse a amigos: “O meu mais direto rival é sempre meu companheiro de equipe, seja ele quem for”. Você entende que o Irvine é isso?
66|20/03/1995|Rubens Barrichello|67|Rubens Barrichello| Você tem que dividir bem as coisas. Acontece isso porque ele é super-rápido e tem o mesmo carro. Então, realmente, ele é o maior rival. Se ele pode fazer os tempos que você faz e ter as mesmas posições, ele é realmente o maior rival. Só que isso tem que ser saudável porque se chegar ao ponto de ser uma coisa... Começar brigas... Se começar uma briga muito maior, acho que separa as equipes. Então eu acho que a equipe trabalha junto apesar de que, realmente, ele não me acrescenta em nada em acerto de carro. Então foi por isso que eu fiz questão de treinar mais, de ficar um dia mais em Jerez , de ficar um dia a mais em Portugal, para achar o meu acerto de carro.
67|20/03/1995|Rubens Barrichello|68|Celso Miranda| Rubinho, no ano passado você e o Irvine não tiveram um problema em que o Eddie Jordan teve que chamar vocês no box, fechar e... Uma batida que vocês deram. Como é que foi? Porque chegou... não foi às vias de fato, mas...
68|20/03/1995|Rubens Barrichello|69|Rubens Barrichello| Não aconteceu nada de grave. Eu, na corrida da Hungria, larguei em décimo. Ele largou em sexto, eu larguei muito melhor e vinha numa tomada passando ele por fora. De repente, o carro dele começou a escapar em cima do meu - eu não sei se  começou ou se foi de propósito. E aquilo, no momento, é uma coisa que te atrapalha um pouco... Você fala: “ah, não! Se aconteceu isso, na próxima freada eu vou colocar por dentro de novo”. Então foi o que aconteceu: existiu o espaço, era total. Não haveria problema se o Katayama não colocasse por fora, porque ele fechou a porta do Irvine que veio para dentro e que me tocou. Então, lógico... Quando batem dois companheiros, eu acho que qualquer chefe de equipe chamaria a atenção para que não...
69|20/03/1995|Rubens Barrichello|70|Celso Miranda| A bronca foi forte?
70|20/03/1995|Rubens Barrichello|71|Rubens Barrichello| Não, o Eddie Jordan é ruim de dar bronca.
71|20/03/1995|Rubens Barrichello|72|Matinas Suzuki Júnior| Jan Balder, por favor.
72|20/03/1995|Rubens Barrichello|73|Jan Balder| Rubinho, você colocou há pouco que os dois adversários mais fortes seriam a Williams e a Benetton. Como é que você coloca a Ferrari  nesse contexto?
73|20/03/1995|Rubens Barrichello|74|Rubens Barrichello| Eu diria que a Ferrari vem muito bem para este campeonato, também. Eu diria que, pela emoção dos dois pilotos falando do carro, eu acho que eles vêm numa situação forte também. Para início de campeonato, eu acho que eles estão na mesma condição que nós. E, com certeza, eles vão crescer e, para a gente continuar igual, a gente vai ter que crescer também. Mas eu diria que eles também estão bem. Eu acho que a única equipe que ainda vai ter que batalhar um pouco - eu posso te “morder a minha língua” - mas eu acho que é a McLaren, que não veio com tanta velocidade assim no começo de ano.
74|20/03/1995|Rubens Barrichello|75|Jan Balder| Você acredita que a Peugeot, em sua segunda temporada, e a Jordan na quinta temporada, esse elo de união mais jovem pode dar para a Peugeot um resultado melhor do que deu com a McLaren?
75|20/03/1995|Rubens Barrichello|76|Rubens Barrichello| Eu acredito que sim. Eu acredito que, de repente, nós temos ainda que crescer como equipe, com profissionalismo, com maturidade, com aspectos de experiência, realmente... Mas eu acho que, fora isso, a Peugeot só tem a ganhar com uma equipe jovem, com uma equipe como é a família Jordan. E o Peugeot - isso eu posso declarar - é um motor vencedor, com certeza.
76|20/03/1995|Rubens Barrichello|77|Cláudio Carsughi| Rubinho, você diz que o carro vai crescer. Você acha que vai crescer chassi ou motor? Ou os dois juntos?
77|20/03/1995|Rubens Barrichello|78|Rubens Barrichello| Eu acho que os dois. A cada dia mais eu me impressiono com o motor, cada dia que eu sento no carro eu tenho uma evolução nova dentro do motor, então isso é fantástico. Na próxima tomada de tempo - que será sexta-feira, se Deus quiser, no Grande Prêmio - eu vou guiar um motor que eu nunca guiei, nem o próprio Irvine. É uma evolução do motor que nós tivemos lá em Portugal. Eu acho isso excelente. Então,  por isso que eu afirmo: é um motor vencedor. Mas eu acho que ainda nós temos que crescer um pouco na parte aerodinâmica. Acho que a parte aerodinâmica é a parte  vencedora de 1995.
78|20/03/1995|Rubens Barrichello|79|Cláudio Carsughi| Parte aerodinâmica significa dinheiro em túnel de vento. Vocês têm isso?
79|20/03/1995|Rubens Barrichello|80|Rubens Barrichello| Nós temos. Nós não temos os nossos próprios túneis de vento...
80|20/03/1995|Rubens Barrichello|81|Matinas Suzuki Júnior| Rubinho, desculpe, você poderia explicar o que é túnel de vento? 
