DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/10/2006|Rogério Ceni|14|Rogério Ceni|No nosso país precisa ter muita. Além de personalidade, para crescer num grande clube, você tem que ter um excepcional profissionalismo, mas você tem que lidar com muitas situações difíceis, atípicas. O Brasil é um país que cobra muito dos seus jogadores, tendo em vista o que aconteceu com a Seleção neste último ano [disputando a Copa do Mundo de 2006, na Alemanha, o Brasil foi derrotado pela França nas quartas de final]. A imprensa brasileira é uma imprensa difícil, muitas vezes, de se lidar. A necessidade de notícias, de fatos novos... são vários veículos de comunicação. Então, você tem que estar todo dia se justificando, todo dia você tem que estar provando alguma coisa, diferentemente de outros países, que são tão apaixonados como o brasileiro é pelo futebol, mas encaram esse tipo de situação de uma forma diferente.
30/10/2006|Rogério Ceni|15|Hélio Alcântara|Mas será que é diferente mesmo?
30/10/2006|Rogério Ceni|16|Rogério Ceni|Acho que sim. Em alguns países... Eu vejo, por exemplo, a Inglaterra. Como nós temos o Refis [clínica de reabilitação e fisioterapia], e vários jogadores se tratam no Refis, você colhe opiniões e experiências de diversos jogadores. Júlio Batista, por exemplo, que jogou no São Paulo e que hoje está no Arsenal, na Inglaterra, ele está fazendo tratamento no CT e treinamento fechado.
30/10/2006|Rogério Ceni|17|Paulo Markun|CT é o centro de treinamento, né?
30/10/2006|Rogério Ceni|18|Rogério Ceni|É, CT é o centro de treinamento. Nosso centro de treinamento aqui na Barra Funda, aqui do lado da TV Cultura. Ele fala que os treinamentos lá são fechados à imprensa, quer dizer, jornalista não entra. No Real Madrid, os treinamentos são abertos à imprensa. Então, existe em cada país, primeiro, a exploração do marketing esportivo, que é muito grande. Por exemplo, na Espanha, você pega um time como o Real Madrid, a necessidade de exposição, de mídia, daqueles jogadores, para se pagar os altos salários desses jogadores, é muito grande. A Inglaterra é um país mais fechado, focado no profissionalismo, é um país que também tem a imprensa numa área mais restrita.
30/10/2006|Rogério Ceni|19|Vladir Lemos|Rogério, você chegou, em 2000, a falar que gostava de ler jornal, mas pulava o caderno de esportes. Eu queria saber se você mudou ou se continua pulando?
30/10/2006|Rogério Ceni|20|Rogério Ceni|Não, eu gostava de ler jornal, gosto muito de ler jornal. Eu gosto de notícias pontuais. Eu gosto de coisas que acontecem, não sou muito de ler livros, coisas assim. Eu gosto da notícia pontual, mas em alguns veículos de comunicação, o caderno de esportes ainda continua sendo um caderno "pulável".
30/10/2006|Rogério Ceni|21|Vladimir Lemos|Por quê?
30/10/2006|Rogério Ceni|22|Rogério Ceni|Porque são muito fracos, muito ruins. E alguns não, alguns são bons, alguns... existem jornais, principalmente os mais especializados em esportes, que têm cadernos ótimos, tem coisas bacanas, muita informação esportiva. Existem alguns jornais que pararam no tempo, que fecham o seu caderno de notícias esportivas muito cedo, e aí não tem a notícia da forma que a gente gostaria de ver, ou não dão uma... existem jornais que são imensos, mas dão um espaço muito pequeno para área esportiva. Deveriam melhorar, na minha opinião.
30/10/2006|Rogério Ceni|23|Wagner Vilanon|Que formato é esse que você gostaria de ler, Rogério? Qual é um bom jornal, qual é ruim?
30/10/2006|Rogério Ceni|24|Rogério Ceni|Não é que é um bom jornal. Um bom jornal no sentido informativo, de você ter muitas fotos, de você ter entrevistas, que é o Lance!, que é um jornal, para mim, na minha opinião, o jornal que hoje mais trata direto. Mas nós temos outros jornais que são bons, jornais que têm muita qualidade em outros cadernos, que são super bons em outros cadernos, mas no caderno de esportes eles deixam a desejar.
30/10/2006|Rogério Ceni|25|Marília Ruiz|Rogério, você acabou de falar do Lance!, eu agradeço o elogio ao jornal. Eu queria voltar ao fato do país ter uma imprensa que cobra muito o jogador. Por que o jogador não cobra muito o seu dirigente? Você é um jogador diferenciado, todo mundo sabe disso, a imprensa toda reputa isso a você, que você e alguns outros jogadores são diferenciados em relação ao que a gente chama de goleiros. Por que o sindicado no Brasil é tão fraco? Porque na Argentina cobra-se tanto, mas os jogadores também cobram de volta, por que aqui não?
30/10/2006|Rogério Ceni|26|Rogério Ceni|Olha, eu acho que... eu não tenho, por exemplo, queixas a fazer dos meus dirigentes. Se um dia as tiver, não é através da imprensa que eu as farei.
30/10/2006|Rogério Ceni|27|Marília Ruiz|Não, não falo nem em relação a fazer isso por meio da imprensa, mas aqui não existe uma movimentação. Houve uma tentativa de se fazer uma greve, a cerca de dois anos por causa da... que foi fracassada.
30/10/2006|Rogério Ceni|28|Rogério Ceni|Porque a categoria, no nosso país, infelizmente, não é tão unida como na Argentina. Aliás, o nosso país é muito diferente da Argentina. Você vê todas as situações econômicas que a Argentina passou, e o povo [brasileiro] tem características diferentes do povo argentino. Eu acho que isso se estende também ao futebol.
30/10/2006|Rogério Ceni|29|Luiz Gonzaga Belluzzo|Rogério, você que é um goleiro que tem habilidades com os pés - acho que eu conheço dois que tem, você e o Van Der Sars [Edwin Van Der Sars, atleta holandês]. Se você... Veja-se jogando com a camisa do Palmeiras, atacando o São Paulo, você no gol.
30/10/2006|Rogério Ceni|30|Rogério Ceni|Agora que eu entendi porque você é economista e palmeirense [risos].
30/10/2006|Rogério Ceni|31|Luiz Gonzaga Belluzzo|Como é que você chutaria? Como é que você faria o gol? De que jeito você chutaria, por cima, por baixo, como é que é? Bateria devagar, com força?
30/10/2006|Rogério Ceni|32|Rogério Ceni|Essa possibilidade, ela infelizmente não vai se concretizar.
30/10/2006|Rogério Ceni|33|Luiz Gonzaga Belluzzo|Eu queria que você respondesse, como é que você bateria?
30/10/2006|Rogério Ceni|34|Rogério Ceni|Para fazer o gol em mim mesmo?
30/10/2006|Rogério Ceni|35|Luiz Gonzaga Belluzzo|É, para fazer o gol em você mesmo.
30/10/2006|Rogério Ceni|36|Rogério Ceni|Ah, não posso dizer nunca, senão as pessoas vão saber qual é o modo mais fácil de colocar a bola para dentro.
30/10/2006|Rogério Ceni|37|Luiz Gonzaga Belluzzo|Então, vou te fazer uma outra pergunta: dos atacantes brasileiros contra os quais você jogou, qual que você acha mais...
30/10/2006|Rogério Ceni|38|Rogério Ceni|[interrompendo] Os melhores finalizadores de área que eu enfrentei foram Romário e Bebeto [atacantes que tiveram destaque na Copa do Mundo de 1994]. Os dois jogadores melhores que eu enfrentei, não coloco os que jogaram comigo, mas que eu enfrentei, Romário e Bebeto, sem dúvida. Dentro da área, no modo de concluir, foram os dois.
30/10/2006|Rogério Ceni|39|Luiz Gonzaga Belluzzo|Mas você mesmo não quer dizer como é que você chutaria em você?
30/10/2006|Rogério Ceni|40|Rogério Ceni|De jeito nenhum.
30/10/2006|Rogério Ceni|41|Mauro Naves|Rogério, nessa minha primeira participação, eu queria fugir um pouco do "futebolês" e te perguntar se você se considera muito político, se você fez questão de votar ontem e se você faz questão, se possível, de fazer um pouco a cabeça da torcida que tem você como ídolo? Quando você está dando um autógrafo, nesse tempo todo aí que a gente estava, nessas campanhas, se te perguntaram, você disse em quem votou, fez questão de dizer: “Ó vai comigo, nessa, tal”? E se você tivesse sido eleito ontem no lugar do Lula [presidente eleito do Brasil em 2002 e reeleito em 2006], qual que seria o seu primeiro ato? O que te incomoda muito que você já chegava lá e falava: “Isso eu vou mudar no Brasil”?
30/10/2006|Rogério Ceni|42|Rogério Ceni|Olha, tem tanta coisa para mudar que uma coisa não seria suficiente. Eu votei no Alckmin [Geraldo Alckmin, ex-governador de São Paulo e candidato à presidência da República em 2006. Foi derrotado por Lula no segundo turno] ontem, pelo fato de achar que o presidente da República que teve a chance, nos últimos quatro anos de governar o país. Ele não conseguiu, na minha opinião, fazer o que... na minha opinião, não conseguiu exercer um grande mandato. O que eu faria? Olha, tanto um como outro falam muito na desigualdade social que existe no nosso país, né? A gente vê isso sendo tratado, abordado, esse fato como uma coisa... Só que eu estou vendo é que realmente está diminuindo a desigualdade social, só que ela está se nivelando num nível tão baixo que não seria isso que eu tentaria fazer como governante deste país.
30/10/2006|Rogério Ceni|43|Mauro Naves|[interrompendo] É o que mais te incomoda?
30/10/2006|Rogério Ceni|44|Rogério Ceni|É o que mais me incomoda. Porque através de, quer dizer, logicamente que o principal de tudo, tudo que é voltado para a educação, vai se refletir no futuro. Pode ser daqui dez, daqui 15, daqui vinte anos e vai melhorar nosso país. Mas a desigualdade social, ela traz muita coisa ruim para gente. Agora, do modo, na minha opinião, como foi feito nesses últimos quatro anos, e o grande medo que eu tenho é dos próximos quatro anos, afinal de contas esse governo ele não tem mais condições de se eleger depois desses quatro anos, por já ter sido reeleito. Meu medo é que a igualdade que eles tanto propõem, seja num nível muito baixo, quem é pobre vai para a miséria, quem é de classe média está se caminhando para a pobreza. Os grandes bancos têm os maiores faturamentos de todos os tempos e políticos que a gente vê na televisão - só que não pode colocar numa regra geral, tem gente ainda muito boa representando este país - mas aqueles que são comprovadamente corruptos ou que tiveram atos corruptos, continuam ainda sem uma grande punição.
30/10/2006|Rogério Ceni|45|Paulo Markun|Esse discurso que você acaba de fazer é usual no seu meio? Quer dizer, o jogador de futebol fala de política, o jogador de futebol discute outras coisas?
30/10/2006|Rogério Ceni|46|Rogério Ceni|Não é o jogador de futebol, o povo brasileiro em geral, ele não...
30/10/2006|Rogério Ceni|47|Paulo Markun|[interrompendo] Só em eleição.
30/10/2006|Rogério Ceni|48|Rogério Ceni|Só em época de eleição e para presidente da República. Para outros cargos, por exemplo, que não tem grande destaque, como deputados, na época de prefeitos, vereadores e tal. Eu acho que o país, em geral, ele não tem tanto interesse assim. Então, o que eu vejo? Por exemplo, Bolsa Família, Bolsa Educação [programas desenvolvidos pelo governo federal para tentar reduzir a pobreza no país]. Eu acho que isso é muito legal se for o complemento do salário de um cidadão brasileiro. Por que qual é o grande motivo de você se sentir bem na vida? É você ter um emprego. Então, o que o cidadão quer, [o que] ele deveria querer? Ele deveria querer um emprego e, logicamente pela situação precária econômica que o nosso país tem, isso deveria servir como um complemento salarial. Hoje a gente vê muitas... hoje, um emprego é tão difícil de conseguir em cidades do interior, de você conseguir gente para trabalhar, porque a pessoa raciocina assim: “Não, mas eu tenho Bolsa Família, Bolsa Escola. Isso me dá cento e tantos reais [gesticulando]. Eu prefiro ficar em casa do que arriscar ter que trabalhar”. Então, assim, eu vejo que seria muito legal tudo isso que é feito, é uma idéia louvável, mas como um complemento salarial. Porque eu vejo isso como um fator determinante para o não crescimento do nosso país.
30/10/2006|Rogério Ceni|49|Raul Plasmann|Rogério, há uma série de coincidências aqui, boas para mim, em relação a você. Nós nascemos no Paraná, você nasceu em Pato Branco, eu nasci em Antonina, pertinho ali de Curitiba. Você fez 17 jogos pela Seleção Brasileira, eu fiz 17 jogos pela Seleção do Brasil. Você estreou na Espanha, o primeiro jogo seu foi na Espanha contra o Tenerife e eu fiz uma estréia também na Espanha, com o Flamengo e La Coruña [time espanhol] contra o Real Madrid. E pena que, coincidentemente, eu não bato falta, não batia falta como você.
30/10/2006|Rogério Ceni|50|Rogério Ceni|Nunca é tarde [risos].
30/10/2006|Rogério Ceni|51|Raul Plasmann|Foi uma pena muito grande. Eu gostaria de perguntar para você o seguinte: nós falamos de política aqui, conversamos a respeito de política, tivemos as eleições agora. Você acha que o esporte pode ser uma ferramenta para tirar, por exemplo, a garotada... é uma maneira de prevenção de doença? O esporte mostra o caminho, nós sabemos disso, e geralmente mostra o bom caminho. Você acha que essa é uma ferramenta importante que o Brasil não está usando, pelo menos os seus dirigentes, os seus políticos? Eu acho que eles estão pensando muito mais em construir hospitais do que fazer a prevenção embaixo.
30/10/2006|Rogério Ceni|52|Rogério Ceni|É porque hospital é material. Hospital está lá, é de concreto, é palpável. Agora, eu acho que tem muita gente, por exemplo, como essas fundações, que é a Gol de Letra [fundação que tem o objetivo de auxiliar crianças de famílias de baixa renda através do desenvolvimento pelo esporte], do Raí, do Leonardo [ex-jogadores da Seleção Brasileira] cuidando cada vez mais da criança. O Cafu lançando a fundação dele. Há muita preocupação da iniciativa privada em ajudar [gesticulando], formar escolinhas de futebol, só que o problema é que o futebol ainda é uma ilusão para o brasileiro. O futebol é a válvula de escape que o pai de família pensa para o filho ter sucesso e conseguir ser alguém na vida. Só que quem consegue chegar no ponto mais alto no futebol é uma extrema minoria. As outras pessoas não se preparam para o que pode não dar certo na carreira.
30/10/2006|Rogério Ceni|53|Raul Plasmann|Eu gostaria só de te interromper um pouquinho, para direcionar. Eu estou falando não especificamente do futebol em si, estou dizendo o seguinte: o governo entrar pesado na base em todos os esportes, como Cuba fez, algum tempo atrás...
30/10/2006|Rogério Ceni|54|[...]|[interrompendo] Nas escolas?
30/10/2006|Rogério Ceni|55|Raul Plasmann|Nas escolas, para que o país realmente se torne um país de esportista também, não...
30/10/2006|Rogério Ceni|56|Rogério Ceni|[interrompendo] Pelo tamanho que nós somos, pela população que nós temos deveríamos ser um país, em Olimpíadas, com muito mais. Cuba, como é o exemplo que você citou, que é um país deste tamanhinho [faz o gesto de pequeno com as mãos] perto do Brasil e a quantidade de medalhas... então, eu acho que no nosso país, o problema é que investir neste tipo de [ação]... não tem retorno, sabe, não tem retorno de tanto voto. São coisas que são mais palpáveis e que dão mais retorno para o governo. Agora, é um país que não tem outra alternativa a não ser investir ou tentar ajudar a criançada que vai se desenvolvendo no nosso país com o esporte. Porque nós não temos condições financeiras para pensar em qual outra coisa que conseguiríamos fazer hoje, no nosso país, que não fosse através do nosso esporte? Então, eu acho que deveria, sim, existir um incentivo muito maior, por parte do governo, para que a criança pudesse, além de praticar o esporte, pudesse ter um acompanhamento de estudos. Agora, isso é o que eu falo, é um investimento na educação que é o principal de tudo. Pode não dar retorno amanhã, mas daqui a dez, daqui a vinte, daqui a trinta anos, nós teremos, sem dúvida nenhuma, um país melhor, se olhado por este lado.
30/10/2006|Rogério Ceni|57|Paulo Markun|Rogério, vamos fazer um rápido intervalo. Voltamos num instante com Roda Viva. A gente volta já, já.
30/10/2006|Rogério Ceni|58|[intervalo]|intervalo]
30/10/2006|Rogério Ceni|59|Paulo Markun|Estamos de volta com o Roda Viva, hoje entrevistando o goleiro do São Paulo, Rogério Ceni. Rogério, eu queria saber como é que você consegue comandar o time, acompanhar o que se passa lá do gol se metade do campo você pouco vê, que é o ataque?
30/10/2006|Rogério Ceni|60|Rogério Ceni|Não é comandar o time. Quem está atrás sempre tem uma visão privilegiada. O jogo dentro do campo é um, o jogo quando eu chego na minha casa e assisto o tape pela televisão é completamente diferente.
30/10/2006|Rogério Ceni|61|Paulo Markun|Qual é o melhor?
30/10/2006|Rogério Ceni|62|Rogério Ceni|Depende, depende muito. Às vezes, no jogo no campo, você acha que foi um jogo fenomenal, quando você chega em casa: “pôxa, mas foi só isso”. E às vezes você vê o jogo, você participa do jogo e acha que foi meio chato. Chega em casa o jogo parece que foi numa velocidade muito maior. Agora, é uma vantagem para o goleiro, ele ter o campo todo à frente. É uma necessidade do goleiro, ele ter esta voz ativa dentro do campo. Afinal de contas, ele é o que menos corre. Ele é o que mais está descansado, é o que tem a melhor visão do jogo, cabe a ele falar mais.
30/10/2006|Rogério Ceni|63|Paulo Markun|Mas não é usual o goleiro ter este tipo de função. Ele fica ali parece que dormindo.
30/10/2006|Rogério Ceni|64|Rogério Ceni|Não, não hoje. A maioria dos goleiros evoluíram e participam muito mais. Muitos participavam já na época do Raul.
30/10/2006|Rogério Ceni|65|Raul Plasmann|Aliás, foi a posição que mais progrediu nesses 15, vinte anos para cá, e o Rogério é a própria evolução da espécie. Você pode ver, nós tivemos aí o Jorge Campos [ex-atacante do Bahia, Vitória e Atlético Mineiro], que é habilidoso, mas ele era atacante primeiro, ele era atacante mesmo, jogava inclusive nos jogos como atacante depois ia para o gol, uma bagunça, né? Eu acho meio esquisito isso aí. Depois vamos pegar o Chilavert que batia, mas era pancada, não era muito com jeito, o negócio dele era meio na ignorância. Agora, depois nós tivemos Van Der Sars que é o melhor deles que eu vi aí, fora os estrangeiros, para sair jogando, é muito tranqüilo. Inclusive, a equipe dele já sabe disso, evidentemente, toca para ele quando aperta e começa sair jogando como se fosse um volante.
30/10/2006|Rogério Ceni|66|Paulo Markun|Pergunta de leigo, nesse negócio não é mais certo ter cada macaco no seu galho? Quer dizer, o goleiro defende, o atacante ataca, se o goleiro...
30/10/2006|Rogério Ceni|67|Raul Plasmann|[interrompendo] Fica numa mesmice e nada acontece diferente.
30/10/2006|Rogério Ceni|68|Rogério Ceni|No futebol moderno não cabe mais isso. No futebol moderno, é obrigatório [o goleiro] ele saber jogar com os pés porque ele é o primeiro cara a dar o lançamento, a repor a bola com qualidade. O centroavante, se ele não der um combate para ajudar na marcação, vai estourar lá atrás.
30/10/2006|Rogério Ceni|69|Raul Plasmann|O Rogério está falando uma coisa importantíssima e é bom que a gente chame a atenção sobre isso. Muita gente sabe disso porque não é nenhuma coisa fantástica, mas o goleiro, há alguns anos atrás, ele apenas dava um bico para frente, chutão. Hoje não, hoje ele é responsável pelo contra ataque, pelo início de uma jogada. Quando o lance está na intermediária, o volante ou o zagueiro atrasa para ele, é uma jogada que pode ser ensaiada, para ele já sair rápido, atrair. Então, o goleiro tem uma participação fundamental hoje no jogo, inclusive para virar o jogo.
30/10/2006|Rogério Ceni|70|Rogério Ceni|Isso não aparece tanto na televisão porque, normalmente, o lance seguido de uma defesa do goleiro vem o replay da jogada e desaparece o primeiro passo do goleiro. Eles dão o corte para mostrar o replay e desaparece, por isso não é tão notado.
30/10/2006|Rogério Ceni|71|Hélio Alcântara|O Rogério, Markun, faz isso muito bem, liga rapidamente da defesa para o contra ataque. Eu queria saber de você o seguinte, Rogério, se você concorda com isso e quem são os goleiros aqui no Brasil que fazem isso melhor? Você tem algum fora do país também que você olha e fala: “esse cara sabe fazer”.
30/10/2006|Rogério Ceni|72|Rogério Ceni|O goleiro que hoje está no nosso país, mas que é de fora, que fazia isso com perfeição, está hoje no Atlético Paranaense, jogou estes dias, está na reserva, que é o Navarro Montoya. É um goleiro colombiano que jogou durante muitos anos no Boca [Boca Juniors, time argentino] e foi um dos caras que me deixou mais impressionados. Uma vez eu fui jogar na La Bombonera [estádio oficial do Boca Juniors], eu estava na reserva, em 1992, 1993, nós enfrentamos o Boca Juniors e ele, para o lado esquerdo, ele repõe com o pé direito e, para o lado direito, ele repõe com o pé esquerdo com a mesma qualidade. Eu já treinava, mas foi onde eu comecei a perceber a importância, a elegância, a facilidade de se jogar dessa maneira. Isso me tocou bastante.
30/10/2006|Rogério Ceni|73|Vladir Lemos|Rogério, falando em treinar, eu queria despertar uma conversa um pouco sobre a sua técnica, da maneira que você conseguiu chegar a essa precisão. Lembro de você fazer um treinamento e lembro de vocês brincando depois de um treino praticamente acabado. A brincadeira não era exatamente fazer um gol, era acertar atrás.
30/10/2006|Rogério Ceni|74|Rogério Ceni|É quando eu comecei a bater faltas?
30/10/2006|Rogério Ceni|75|Vladir Lemos|Não, você já estava consagrado, mas continuava brincando assim.
30/10/2006|Rogério Ceni|76|Rogério Ceni|Hoje, até hoje a gente faz isso. Isso é uma brincadeira antiga, mas isso não é das faltas. A gente posiciona as bolas.
30/10/2006|Rogério Ceni|77|Vladir Lemos|Mas isso ajuda a precisão.
30/10/2006|Rogério Ceni|78|Rogério Ceni|Ajuda a você ter noção de força para você colocar espaço, distância, vento, que é uma coisa muito importante. É uma competição que a gente faz, a gente aposta caixa de refrigerante.
30/10/2006|Rogério Ceni|79|Mauro Naves|Só que você não consegue hoje bater tantas vezes como você batia antes.
30/10/2006|Rogério Ceni|80|Rogério Ceni|As faltas não, esse tipo de batida...
30/10/2006|Rogério Ceni|81|Mauro Naves|[interrompendo] Cem, 150 de treino.
30/10/2006|Rogério Ceni|82|Rogério Ceni|As faltas? Não, bato 30, 40 faltas.
30/10/2006|Rogério Ceni|83|Mauro Naves|Já bateu cem no passado.
30/10/2006|Rogério Ceni|84|Rogério Ceni|No começo de minha carreira, eu batia por volta de cem faltas todos os dias.
30/10/2006|Rogério Ceni|85|Mauro Naves|Por causa do joelho, idade?
30/10/2006|Rogério Ceni|86|Rogério Ceni|Hoje eu tenho duas artroscopias no joelho direito, uma no esquerdo. E a musculatura, tenho muitas lesões musculares que, pelo fato de você estar iniciando a carreira, você vai para o sacrifício, apesar que eu sou meio assim até hoje, mas você tem a lesão, não cura direito e aí você tem as seqüelas futuras que a dor... ela vem. Até hoje, eu não tenho condições de bater cem faltas antes de um dia de jogo, porque eu tenho uma lesão na perna se eu bater cem faltas...
30/10/2006|Rogério Ceni|87|Marília Ruiz|Rogério, ainda sobre esta sua habilidade com o pé, o Zetti, por exemplo, é um goleiro que ganhou mais títulos que você no São Paulo, mas ele mesmo aponta você como mais ídolo hoje da torcida do que ele foi na época e que ele é hoje. As pesquisas de jornais, de sites, apontam você como mais ídolo que o Raí, que também ganhou mais títulos que você. Consagrado e tendo esse lastro de confiança da torcida, você pensa em jogar uma partida na linha?
30/10/2006|Rogério Ceni|88|Rogério Ceni|Não, eu acho que não, fugiria um pouco do profissionalismo. Já foi pensado, inclusive.
30/10/2006|Rogério Ceni|89|Marília Ruiz|Já foi pensado em 2003, na última rodada.
